2009-11-05 00:13:22 Debug: Notice (8): Undefined variable: newest in [APP\views\default\index.ctp, line 78]
2009-11-05 00:13:22 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 118]
2009-11-05 00:13:27 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 52]
2009-11-05 00:13:27 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 00:13:27 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 74]
2009-11-05 00:13:27 Debug: Notice (8): Undefined variable: newest in [APP\views\default\index.ctp, line 78]
2009-11-05 00:13:28 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 118]
2009-11-05 00:14:05 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 52]
2009-11-05 00:14:05 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 00:14:05 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 74]
2009-11-05 00:14:05 Debug: Notice (8): Undefined variable: newest in [APP\views\default\index.ctp, line 78]
2009-11-05 00:14:05 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 118]
2009-11-05 00:14:57 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 52]
2009-11-05 00:14:57 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
2009-11-05 00:14:57 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 74]
2009-11-05 00:14:57 Debug: Notice (8): Undefined variable: newest in [APP\views\default\index.ctp, line 78]
2009-11-05 00:14:57 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 118]
2009-11-05 00:16:56 Debug: Notice (8): Undefined variable: settings in [APP\views\default\index.ctp, line 52]
2009-11-05 00:16:56 Debug: Notice (8): Undefined index: product_thumb in [APP\views\elements\product_view.ctp, line 33]
